summary,description,timespent
sum aggregate overflow criterion inconsistent rest product,following script demonstrates problem drop table exists create table float double precision insert value select run avg sum stddev variance aggregate report error floating point overflow column stddev variance correct since calculating aggregate requires squaring column value sum avg merely summing value cause overflow,2400.0
buffer overrun certain condition,large enough hive text table string column string column value longer cqd external table definition longer column size given may core buffer overrun following test case reproduces behavior first use following python script called datagen py python import sys help print usage file num row num varchar colum varchar column length sys exit range write close run script follows chmod next perform following command hive shell drop table exists create table int string int row format delimited field terminated load data local inpath overwrite table lgvc finally following sqlci cqd prepare select execute point cqd reduce default hdfs read buffer size rather default test fail smaller input file test case run get core following stack trace gdb bt raise abort signal handler called memcpy prevwaittime cliglobals type return continue return gdb,2400.0
fix regression caused,following script demonstrates issue drop table exists cascade create table integer insert value create table integer null integer primary key insert value create table integer null integer insert value select left join null run see failure failure due fix select left join null null operand allowed predicate internal error assertion failure vdesc file line statement prepared,2400.0
memory leak monitor environment processing,prior change introduced memory leak calculating file path environment variable,2400.0
update statistic use skip conflict access accessing base table,today update statistic us read uncommitted access accessing base table unfortunately engine map read committed access scenario data ingest happens continuously may lead transaction conflict full table scan done update statistic data ingest transaction wish commit changing update statistic use skip conflict access avoid conflict,2400.0
improve logsort utility sort output get schema etc statement,logsort utility used developer regression test suite sort output sqlci log file select statement lack order useful eliminates false failure regression testing due non determinism row order get schema metadata get statement order output either occasionally change get implementation cause difference output order would good logsort could improved sort output get statement well,2400.0
odb cp command support writting bad file,command option bad specify store bad record cp command option cp command option errdmp specify dump bad buffer erroroccurred chinese user content easy understand example user want add intuitive option bad cp command similar thing command,2400.0
tcompactprotocol string allocation improvement,writestringasync readstringasync intcompactprotocol allocate buffer store byte converting string buffer cleaned garbage collector point lead lot pressure hosting process scenario basically lot buffer emitted library easy tweak use pooled buffer work greatly improves performance load,2400.0
centralize configuration aspect commonly used configuration object,numerous method ctors get commonly used parameter passed timeouts message frame size instead blowing parameter list stored passed mean extensible configuration struct object,1800.0
add makefile php tutorial,adding makefile php tutorial would helpful user understand run,2400.0
improve server test case,currently improving test case found servlet dependency package relatively old user need create http environment added embedded package tomcat second improved test case http application layer client server communicate print string,2400.0
issue version treatment,resloved compatibility display version error package version value initialization built compiler visual studio maybe people used handle project window ide think still job need take support except need advice whether thing github pr link thanks zhouhu,3000.0
thttptransport relies activex component,delphi impl client side thttptransport relies activex component certain scenario impose problem due restricted permission application run since creation com object may forbidden current user hence changed,2400.0
add framed buffered option tnamedpipeservertransport,framed buffered option missing tnamedpipeservertransport class like exists tserversockettransport ttlsserversockettransport tnamedpipeservertransport would also benefit feature,1800.0
test client use cancellation token,test client actually put cancellationtoken use particular adinng timeout cancellation may helpful,2400.0
suppress excessive logging sasl ttransportexceptions case,fix checked mute noise tsasltransportexceptions raised thrift service hive metastore please consider code logic solid runtimeexceptions wrap slip handling condition checked catch exception come catch texception tx guarantee instanceof ttransportexception tsasltransportexception thrown caught first catch block logged rather defeat purpose fix error manifest following filling log fix simple upload shortly review,2400.0
add cmake package configuration support,thrift build cmake really great daily use minor issue left downstream package findthrift cmake script slightly annoying replicates detection script downstream package modern cmake suggestsanice solution use ofpackage configuration file see package configuration building thrift downstream package use library compiler resolved transitive package dependency also resolved even build setting like compiler flag passed created package configuration thrift cmake build could considered inclusion,1800.0
consolidate netcore new netstd language target finally deprecate netcore binding,many difference get effectively merged netcore also name misleading proposal new netstd target user migrate force end goal course deprecate remove existing well existing netcore binding maintain netstd binding purpose umbrella ticket host,2400.0
drop support begin refactoring,discussed may want drop support take following step compiler cmake familiar gnu autotools would anybody help changing piece script deprecated feature library compiler generated code boost component counterpart gradually issue created advises step,3000.0
code generator handling type properly constant typescript type mapping,code generated constant involving thrift type rely type package thrift us handling example consider following thrift constant definition result generating following code node browser since number type natively represent integer fit double precision floating point result lost precision certain value printing would produce correct output showing node besides none typescript type binding file contain type type includes constant type service method parameter note fixing may break existing code mind work default dont know policy thrift regarding backward compatibility could also added option,2400.0
sequence numbering multiplexed protocol broken,handling client sequence numbering multiplexed protocol broken current implementation us client internal variable seqid seqid,1800.0
thrift exception hashable python,compiler generates eq hash thrift exception class make hashable python due lead python standard library throw error printing tracebacks involving thrift exception attached patch generates hash thrift exception technically incorrect since thrift exception mutable compare practice seems unlikely people would mutate exception instance directly creating without patch thrift exception displayed standard library,2400.0
unorderedpartitionedkvwriter readdatafordme check file flushed,possible cache flushed data file sending data wire would good check data got flushed disk,1800.0
fast reimplement,factored skip buffer data exchange therefore go disk got removed would better buffer limit event size writing disk since creating new file always incurs disk traffic even file eventually served buffer cache total overhead receiving event firing http call fetch data etc add approx query data xfer event skip disk entirely also remove extra iop incurred channel suitable event transport specifically workload deal control table consume bandwidth http header hostnames byte payload,3000.0
fuzzyscore javadoc mistake,fuzzyscore adapted stringutils getfuzzydistance javadoc copied deprecated utility method took three argument term query class take aconstructor argument remaining method argument however javadoc unchanged show parameter,2400.0
jarowinklersimilarity us object equal test equality,using object equal test equality charsequence wrong unit test pass test us string side changed unit test wrap string charsequence interface fails replaced,2400.0
stringescapeutils unescapecsv doesnt remove quote begin end string,opinion first occurence replaced quote around input never removed,3000.0
remove support java,java long reached end life support yet tephra still support test java recent change use http java cause repeated test failure caused lack support tl,2400.0
sandbox module running,trying build yield test error error time elapsed failure info result info error failure error,2400.0
improve spring integration,improve spring integration supporting typical spring enablement annotation added spring configuration enables load tamaya spring configuration backend default tamaya override existing spring configuration also enables tamaya configuration injection spring bean customized configuring tamaya integration annotation follows,1800.0
proposal change default separator,think common,1800.0
jpaconninstancedao marked transactional,allow thejpaconninstancedao marked transactional specifically find findauth method readonly allow persistence operation call component already may marked,2400.0
remove provisioning information resource admin console,go topology select one external resource click edit provision rule select one row modal window click delete confirm click save click edit provision rule deleted row still,2400.0
add executor information task report execution,currently possible know user started given task report apply scheduled execution naturally always run,2400.0
exception parameterized test source ignored,associated version end time testing junit jupiter jdk maven following code run either surefire failsafe two test method logged detected third one completely ignored exist particularly obvious first two test method commented running mvn test log test run case help output seeing running first two test commented,1800.0
junit platform test failing beforeall fail build,using surefire junit platform following test fail maven build output removing beforeall annotation method fails expected version surefire work expected test maven used,2400.0
caching provider classpath module specific change may break test bootstrapping subsequent module,believe ive identified bug caching thats performed problem seeing failure bootstrap surefire module us surefire junit jupiter earlier reactor another project built depends problem occur project built reactor building module depends causing pollution result module failing build believe ive tracked cause pollution caching thats performed abstractsurefiremojo first line remove launcher artifact module specific adjustment provider artifact used create cached subsequent module retrieves cached classpath us build fails launcher missing attached zip contains minimal build reproduce problem see fail run verify goal,2400.0
forkclient attempt consume unrelated line,month weld se test suite suddenly started fail linux machine oracle default locale used forked process exception occurs following log message written standard output found timestamp incorrectly parsed forkingrunlistener bootercode sysprops operation think protocol robust enough avoid similar collision,2400.0
web implement frontend workspace workbench angular,implement frontend workspace workbench angular,1800.0
add jobmanager submittermanager component,jobmanager responsible cache schedule job submitter submittermanager help load different submitter plugins,1800.0
sdk submarine pipeline example,quick start based ctr example submarine pipeline,2400.0
add distributed application case kaldi submarine,use case hadoop registry dns server required,2400.0
support spark interpreter,support spark interpreter submarine,2400.0
update doc,need update doc make sure description inlines new apache tlp,2400.0
failed start submarine server use,followed step doc run getmysqljar home workbench log complains file exist exception,2400.0
workbench integrated workbench add project web server,submarine project manager independently developed integration page service required,2400.0
umbrella submarine test framework,new submarine module order guarantee quality submarine software need provide testing framework least following function included simulate user web operation submarine workbench firefox version refer test method apache zeppelin submarine inter module web simulator simulates operation web front end ensure correctness web operation create submarine machine learning run cluster docker perform algorithm testing machine learning framework provide may bit difficult achieve consider implementing later travis ci test framework triggered test newly submitted code guaranteed merged code repository without breaking functionality original system,1800.0
replace submarine service,mysql connector java belongs gpl protocol prevent pollution derby driver normally access mysql database reopen issue currently following solution adopted solve problem mysql license set scope mysql dependent package provided add driver alternative want publish service need add dependency jar addition,2400.0
bump rocksdbjni,rocksdb community release special relaese bump storm rocksdbjni enable arm support storm,1800.0
improve gras strategy log,message seems confusing debugging default strategy actually us debug level instead warn,3000.0
iterator baseresourcestrategy potentially buggy,probably peek remove value nodeiterator hasnext function two consecutive next call cause problem,2400.0
support getting version info wildcard classpath entry,current versioninfo getfromclasspath method try get version info specific property file directory file support classpath entry like,2400.0
topology ui page change log level allow empty logger name,server error shown bottom user complained call stack informative prevent leaving logger field empty,2400.0
storm cli longer update log level,using example statefulwindowingtopology trying update log level via command line following command nullpointer thrown worker log log level updated appears regression migration clojure java,2400.0
avoid iterators task hook info object,big drive made avoid iterators critical path reduce garbage collection task hook used iterator used info object pas hook critical path task hook used reasoning apply iterators replaced loop,2400.0
worker fails launch due missing parent directory localized resource,worker supervisor failing come error continually presenting,3000.0
nimbus failing startup found,nimbus failing start exception see environment,3000.0
nimbus log got flood ttransportexception error message thrift,submitting wordcounttopology work secure cluster following flood nimbus log internal version code basically community similar issue found thrift community got fixed released yet,3000.0
create unit test blacklistonbadslot option,follow,1800.0
spelling issue,chunk property release yet safely fix without worrying backward compatibility,1800.0
storm ui display detailed version info correctly,cluster summary version url revision,2400.0
illegalargumentexception constraintsolverstrategy,found scheduling error based internal mirror,3000.0
upgrade junit,upgraded upgrade final version,1800.0
add constraintsolverstrategy unit test,constraint solver large number executor scheduling fail due stackoverflow,3000.0
test shouldnt catch npe control flow,think code merged added test new functionality work get rid new bit code npe check whether downloaded file inside worker dir instead move name generation call hierarchy place tell whether inside worker dir,2400.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
starter fix checkstyle warning,fix checkstyle issue,1800.0
hdfs fix checkstyle warning,fix checkstyle issue,2400.0
solr fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
eventhubs fix checkstyle warning,fix checkstyle issue eventhubs,1800.0
jdbc fix checkstyle warning,fix checkstyle issue jdbc,2400.0
perf fix checkstyle warning,fix checkstyle issue,1800.0
core fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,3000.0
metric fix checkstyle warning,fix checkstyle issue,1800.0
redis fix checkstyle warning,fix checkstyle issue,1800.0
hive fix checkstyle warning,fix checkstyle issue,1800.0
hbase fix checkstyle warning,fix checkstyle issue,1800.0
webapp fix checkstyle warning,fix checkstyle issue webapp,1800.0
pmml fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
closure fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
remove abbreviationaswordinname checkstyle setup,rule requires renamings like uiserver drpc dozen similar class name maybe,3000.0
fix checkstyle warning,fix checkstyle issue,1800.0
logviewer log ambiguous,log information clear debugging,1800.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,3000.0
fix checkstyle warning,fix checkstyle issue,1800.0
fix checkstyle warning,fix checkstyle issue,2400.0
rock version shipped doesnt work window,version rock referenced storm used window due mean localclusterrunner instantiated stack trace issue fixed least rock version also note rock blocker upgrade storm run local unit test using local cluster runner development machine,1800.0
set minimum maven version build,alexandre vermeerbergen found build doesnt work maven likely plugin requires maven version forgot specify requirement pom might well bump maven version check,3000.0
add plugin generate list dependency license build,think would helpful could easily generate list license used dependency release need make sure dont let dependency gpl license slip think easier list dependency license,1800.0
kafkaspout case still replay tuples already committed,fix followup added logic handle case spout received ack offset following offset already acked issue spout might commit acked offset adjust consumer position forward clear waitingtoemit properly acked offset sufficiently far behind log end offset spout might end polling offset already committed fix slightly wrong consumer position drop behind committed offset make sure adjust position forward clear waitingtoemit message behind committed offset dont clear waitingtoemit unless adjust consumer position turn problem example say offset failed offset acked maxpollrecords say record kafka spout seek back offset replay get offset back consumer poll consumer position spout emits offset say get acked immediately next poll spout commit offset check adjust consumer position waitingtoemit since position ahead committed offset doesnt clear waitingtoemit since waitingtoemit still contains offset previous poll spout end emitting tuples,3000.0
update jettty version latest stable,upgrade jetty version,3000.0
trident hivestate must flush writer batch commits,trident hive writer flushed hit batch size see trident hivestate flush batch commit appears oversight without trident state guarantee transaction open trident move next txid later fails data open transaction think hivestate must flush writer irrespective batch size trident invokes,1800.0
flight bash fall back use java utils directly set binpath,got fall back use jstack directly happens note profiling work manually removed binpath,1800.0
clean old pull request,close pull request updated,2400.0
logviewer us ui filter setting,configuring filter setting logviewer discovered needed update logviewer logviewer use setting,3000.0
clean maven pom dependency clojure,investigate whether drop dependency clojure drop dependency clojure longer need,1800.0
event log link ui component page broken topology eventlogger executor,event log link appear null place host hide event log link eventlogger executor configured run,1800.0
document cluster metric,need better doc cluster metric storm,3000.0
display version storm offered cluster ui,storm option older version storm installed cluster backwards compatibility happens display ui others know everything installed cluster,3000.0
topologybysubmissiontimecomparator consider priority,topologybysubmissiontimecomparator indicates comparator sort topology priority submission time code considers uptime sure intent either code comment fixed,2400.0
small race worker token,small race zookeeper missed trying get secret zk worker token,3000.0
better error reporting workertokenauthorizer,error handling code workertokenauthorizer log error debug level logged much higher level specifically zk auth error zk client authenticated using older jaas conf happens drpc auth work indication,2400.0
improve supervisor authorization handler error message,error supervisor authorization handler confusing explain fix issue,3000.0
authorizeduserfilter convert medium type string,authorizeduserfilter converting medium type string comparison check better way,2400.0
fix flux yaml viewer icon location position ui page,flux yaml viewer link icon fix next user,3000.0
new ui impersonating user,new ui switched apis used get nimbus client turn apis inconsistent using reqcontext,2400.0
fix kerberossasltransportplugin use workertokens,even enabling workertoken authentication drpcclient use doasuser configuration kerberossasltransportplugin correctly configuring server factory sasl support,2400.0
topology stats doesnt show complete latency even topology ack enabled,please see attached screenshot cc,1800.0
total executor cluster summary main ui page exposed even topology running,total executor cluster summary showing nothing blank even one topology running attach screenshot show behavior cc,3000.0
kafkaspout commit offset occurs commitfailedexception lead worker dead,kafkaspout use thecommitasync api consumer interval time call consumer poll heartbeat consumer timeout thatwill occurcommitfailedexception worker die log like find catch exception mode consumer source code think kafkaspout like catch exception avoid worker die msg ack failed spout judge offset msgid larger last commit guarantee msg offset le last commit offset ack msg retry,1800.0
caused dependency conflict issue,hi found dependency conflict issue caused shown following dependency tree due maven version loaded packaging process however method void defined crash following stack trace project referencing missing method stack trace exception thread main dependency tree version managed omitted duplicate solution one choice notthebest solution arelease version thanks lot regard leo,2400.0
unnecessary inclusion empty match result json,findnmatches correctly filter empty match result substringsearch hence send back empty map user know desired behavior fix current behavior make metric logviewer easier implement example current behavior desired behavior,1800.0
npe workerstate transferlocalbatch receiving message task isnt first task assigned executor,tuples received method look jcqueue send tuple destination task id map look queue starting task id executor range destination task executor assignment hit npe,2400.0
netty incompatibility pacemaker,nimbus issue pacemaker prevents topology submission,2400.0
wrong canonical path set storm,set relative path original implementation incorrectly append current working directory upon invocation storm current working directory home directory storm point incorrect location storm cant actually kill worker see pull request implementation,3000.0
worker heartbeat directory recreated killing,see occasional instance kill worker wait die force delete worker directory successfully heartbeat directory look like new local state get created create directory probably race condition worker calling localstate versionstore mkdirs killed supervisor directory cleanup container already guarantee directory exists fix could add option allow localstates create dir,3000.0
document worker hook hook page,hook page mention task hook also describe worker hook,1800.0
fluxbuilder caninvokewithargs permissive method parameter type primitive,one clause caninvokewithargs permissive return true declared method parameter type primitive regardless type actual parameter value cause flux attempt invoke wrong method certain case trigger illegalargumentexception,3000.0
upgrade hikaricp version,encounteredthe issue whichreason version conflict regarding disruptor via storm phoenix filed resolved root reason also found hikaricp give proper error message complains timeout initializing pool actual error wasnosuchmethoderror issue hikaricp version use leverage default implementation threadpoolexecutor even check initialization work anyway say exposing error one thing note hikaricp moved main version line support jdk change artifact name compatible maintenance version would like provide user experience keep using hikaricp artifact since maven might recognize hopefully ifound another hikaricp version condition met artifact name hikaricp work correctly support java upgrading hikaricp would resolve issue simplest safest way,1800.0
improve getmessage support thriftexceptions,ive seen error callstacks similar confused null message generated thrift code support try improve log message timer info exception null,2400.0
case worker may crash pendingemits full,saw running topology executor pendingemits queue full executor try add another tuple look like preventing queue filling emptying call nexttuple tvl topology reemits failed tuples directly fail method triggered tick tuples pendingemits queue already close full happens might hit error think also happen nexttuple emits many tuples call many metric tick happen pendingemit flush since metric tick also trigger emits,2400.0
messagedecoder forgets rewind buffer position backpressurestatus code received rest message pending,look like reset buffer position returning since read message code point,1800.0
ensure trident emitter refreshpartitions called partition assigned emitter,backport change made opaquepartitionedtridentspoutexecutor description issue copied convenience change released made change opaquepartitionedtridentspoutexecutor likely broke iopaquepartitionedtridentspout implementation changed code used request sorted partition spout via getorderedpartitions partitioning assign partition via refreshpartitions new code pass output getorderedpartitions refreshpartitions look like refreshpartitions passed list partition assigned spout task rather partition assigned current task proposed fix use getorderedpartitions get sorted partition list pas list getpartitionsfortask pas resulting list assigned partition back refreshpartitions,1800.0
getting npe leading worker die starting topology,using version kafka client version external kafka get message whenever try run topology get npe lead worker getting died set poll strategy earliest topic already contains message work fine used custom record translator working fine someone please help fix issue thanks error async loop died java lang nullpointerexception caused java lang nullpointerexception topology class import public class testtopology private static stormtopology buildtopologyproperties stormproperties property kafkaproperties getproperties kafka property tridenttopology topology new tridenttopology field stagearguments new field test issue kafkaspoutconfig string string kafkaspoutconfig kafkaspoutconfig builderkafkaproperties getproperty bootstrap server test setfirstpolloffsetstrategykafkaspoutconfig firstpolloffsetstrategy latest setprocessingguaranteekafkaspoutconfig processingguarantee setrecordtranslatornew recordtranslator stagearguments build kafkatridentspoutopaque new kafkatridentspoutopaquekafkaspoutconfig grouping partitiongroup getpartitiongroup test log info creating final stream kafkaspout topology newstreamstormproperties getproperty kafkatridentspoutopaque name kafkaspout tridentstate testupdate partitionpersistnew mainmemorystatefactory stagearguments new mainmemorystateupdater stream viewupdate new updateview new return topology build public static void args config conf new config log info topology config conf property getproperties log info building topology stormtopology topology buildtopologyproperties log info submitting topology try localcluster cluster new localcluster cluster submittopology conf topology catch exception printstacktrace,3000.0
autotgt ideally check tgt specific ip address reject,several option tgt one forwardable another one ip address make used anywhere else ticket forwardable tied ip address likely work storm reject look like call getclientaddresses ticket return something reject also include instruction get proper ticekt error message kinit,2400.0
nullpointerexception thrown simplerecordtranslator apply,using simplerecordtranslator translator func nullpointerexception thrown func apply return null null list object valid return value apply consumerrecord invalid simplerecordtranslator check null result attempting call addall method list,2400.0
add isremoteblobexists rpc interface deciding remote blob exists,described try catch keynotfoundexception decide remote blob exist confusing user removed initiative still got keynotfoundexception server client point add new api case,3000.0
storm ui showing correct value component cpu memory executor,component page ui showing blank requested resource cpu topology page showed total entire topology individual component executor component topology page show wrong number,1800.0
refactor pacemaker code,pointed pacemaker code need revisit refactor especially exception handling retrying,2400.0
deactivated topology restarts data flow kafka,hi deactivated storm topology produce record kafka storm throw exception exception follows,3000.0
nimbus crash pacemaker restarted,nimbus log restarted pacemaker nimbus crashed npe main info queued leader lock main info using statistic reporter ter main info started statistic report main info successfully logged info tgt refresh thread started main info staring zk curator main info starting info tgt valid starting mon mar utc info tgt expires tue mar utc info tgt refresh sleeping tue mar utc main info initiating client connection sessiontimeout main info default schema info client use gssapi sasl mec hanism info opening socket connection server attempt sasl authenticate using login context section client info socket connection established initiating session info session establishment complete server open sessionid negotiated timeout main eventthread info state change connected info backgroundoperationsloop exiting main info session closed main eventthread info eventthread shut main info staring zk curator main info starting main info initiating client connection ci info client use gssapi sasl mec hanism info opening socket connection server attempt sasl authenticate using login context section client info socket connection established initiating session info session establishment complete server open sessionid negotiated timeout main info default schema main eventthread info state change connected main info starting nimbus server storm version main eventthread info accepting leadership active topology corresponding dependency found local ly timer info scheduling took topology warn connection pacemaker failed trying reconnect connection refused open warn sleep max warn connection pacemaker failed trying reconnect connection refused open warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max timer error attempting write channel timed waiting channel ready warn connection pacemaker failed trying reconnect connection refused warn sleep max warn connection pacemaker failed trying reconnect connection refused warn sleep max timer error attempting write channel,3000.0
fix checkstyle warning,fixing checkstyle warning allows evaluate workload able set number allowed checkstyle warning inconvenient workaround one day,2400.0
logcleaner preserve current,logcleaner clean log based lastmodified timestamp like think least preserve current,3000.0
add jackson annotation dependency management,recently upgraded jackson version howeverdifferent version jackson annotation dependenciesare inherited via transitive dependency jar best keep sync,2400.0
topology working properly,example resourceawarescheduler working properly default cluster setting one separate worker look like able receive message spout bolt spout bolt continued retry sending message acker led another problem tried run storm right right confirmed bugshould related,1800.0
fix broken add transitive dependency zookeeper project depend,shinhyung yang wrote mailing list running yahoo streaming benchmark storm introduction storm decided upgrade currently testing yahoo streaming topology new setup end getting following exception caused org apache zookeeper keeperexception unimplementedexception keepererrorcode unimplemented fixing used storm dependencymanagement section force zookeeper version everywhere storm sadly turn mechanism extend external project depend storm component use zookeeper built part storm transitive dependency zookeeper external project declares dependency quick google indicates proper way export transitive dependency version downstream project would bom pom create separate bom project storm export dependencymanagement user would import bom sure want master since breaking change think maybe master make sure curator dependency always exclude zookeeper project depending curator explicitly declare right zookeeper dependency version,3000.0
update blowfishtupleserializer make simpler use,blowfishtupleserializer currently go secret key pas config hex encoded ascii string really make simpler use config use use zookeeper secret blow neither present,1800.0
remove isderivedfrom validation,would better support user create wait strategy example make work need get rid isderivedfrom validation topology submission fail validation user defined class nimbus classpath applies,3000.0
upgrade jackson latest version,storm branch us jackson known vulnerability upgrade latest jackson version master branch,3000.0
use new wait strategy spout well,introduceda new configurable wait strategy system situation backpressure wait usedby spout bolt incoming data used bolt another wait situation spout emits generated reached jira transition spout wait strategy old model new model thereby havea uniform model dealing wait strategy,2400.0
deprecate,add deprecation notice branch see thread,2400.0
checkstyle failing master,got checkstyle failure build pas,2400.0
configs confusing,configs called percent actually mean think better remove percent,3000.0
testticktupleworkswithsystembolt fails intermittently,took simulated time get message,3000.0
upgrade netty version,netty since june netty released july top two known cf netty,2400.0
check using connect,situation deployer want use new nimbus still leave blank deprecated work avoid program least check whether deprecated config blank,3000.0
spoutconfig serializable declare serialversionuid field,see,1800.0
document metric,issue track task metric documentation purpose blocker ensure finished releasing storm,3000.0
secure cluster storm autocreds enabled fail nosuchmethoderror,storm autocredsbrings thecurator via transitive dependency even though listed provided scope app assembler plugin put dependency curator directory conflict tranquility library depends curator error,3000.0
document metric,issue track task metric documentation purpose blocker ensure finished releasing storm,2400.0
loosen constraint validation support running topology older version,want able topology older version example run cluster user might submit topology configs includes backtype storm fail validation process nimbus class found really config might want loosen constraint isimplementationofclass found try passed let pas validation,3000.0
add extra classpath nimbus supervisor,currently extra classpath might want extra classpath nimbus supervisor specifically one issue facing setting hdfsblobstore point classpath existing hadoop cluster hadoop classpath includes storm logviewer drpc server failed run since storm us adding jvm option following message mean loaded,3000.0
drop standalone mode storm sql,quoting discussion exposing standalone mode storm sql leverage storm sql jvm process rather composing topology run start implemented standalone trident mode approach improved storm sql leveraging feature calcite addressed trident mode two diverged guess likely actual user standalone mode since class exposed document know case source code standalone mode code migrated project modified conform project project longer depends storm sql case dropping concentrate trident mode btw trying replace backend storm sql trident stream api may make mode name obsolete dropping standalone mode even need name mode since one mode discussion link,3000.0
getownerresourcesummaries working properly scheduler wrapped blacklistscheduler,scheduler wrapped blacklistscheduler two instanceof never true,1800.0
test leaking resource,test leaking resource seems making test fail,3000.0
race downloading resource cause failure,recently async localizer test turn race downloading dependency race trying create parent directory,1800.0
add support multiple output field fixedtuplespout,class fixedtuplespout useful emitting test tuples topology test unfortunately appears support single output field greatly limit topology test pr propose adding new constructor fixedtuplespout allow specifying one field also decided deprecate existing constructor accepts string due fact cause ambiguity compilation error calling code passing null probably entirely removed later point created pr master branch,2400.0
add fragmentation metric cpu memory,using ra necessary see cluster fragmentation would using see metric reported displayed ui cluster summary,2400.0
sort multiple place code manipulation collection,storm code manipulation collection multiple place one example would merged via would better sort make common utils possible replace specific library storm already depends,2400.0
link broken logviewer http port used,link broken configured example configuration get loglink still using http port however reachable,2400.0
avoid shutting netty server netty exception,avoid shutting netty server netty exception,3000.0
logviewer leaking file descriptor,logviewer leak file descriptor search module,2400.0
number ackers default number actual running worker ra cluster,problem set number ackers equal ra cluster dont set topology worker number worker determined scheduler case number ackers always see attached screenshot analysis number ackers computed scheduling happens know schedule topology number worker set topology scheduled bit chicken egg problem solution could probably use total amount requested memory topology submitted divided memory per worker get estimate better,2400.0
master branch release due crash checkstyle,current master branch produce stack overflow mvn release prepare run checkstyle executed multiple time per module end checking generated file also several minor issue like resolve checkstyle could upgraded latest version dangling sense attached rest project cause version get sync regularly currently update manually declares twice different version,1800.0
add config option acker cpu memory,want add configuration acker cpu memory requirement instead using etc,1800.0
jmsspout test fails way often,corresponds,2400.0
output topology id storm list command,think output topology id storm list command debugging purpose currently probably visit storm ui get topology id,2400.0
test dont work window,several test work window file path like tmp used path sometimes constructed string concatenation instead using logviewer also seem work window probably reason think might similar issue part code like also fix part checked whether problem likely,1800.0
drpcspout sleep twice idle,profiling topology noticed drpcspout actually sleep twice nothing due call end nexttuple sleepspoutwaitstrategy performs default sleep spout emit tuple cause understanding unnecessary context switch especially high number parallelism attached corresponding yourkit screenshot,3000.0
handle executionexception handlewaitingforbloblocalization state,runtime topology access blob supervisor crash need handle exception slot state machine,2400.0
upgrade newest mockito hamcrest version,currently depending mockito think upgrade latest version since apis become little nicer work,2400.0
doesnt emit tuple numuncommittedoffsets readymessagecount maxuncommittedoffsets,example set maxuncommittedoffsets first fetech messges remote message failed messgaes acked condititon waitingtoemit empty numuncommittedoffsets readymessagecount maxuncommittedoffsets client never meet condition poll,1800.0
blobstore uncompress argument boolean,doc say pas config launching topology however trigger objectreader getboolean function throw illegalargumentexception need update doc uncompress argument string false boolean false,2400.0
load configs specific topology populatecredentials,there single instance autocredentials plugin nimbus right load config key populatecredentials cause issue multiple topology submitted second one try load key first topology,2400.0
debugging allow user tell scheduler node would prefer,case debugging would nice let user tell scheduler want run host run host mostly case saw odd issue topology running specific host unblock user giving ability avoid specific host helpful time may want reproduce issue causing topology scheduled bad node helpful,1800.0
love good remove,let get rid code sad implemented,2400.0
error column storm ui loses original formatting,whenever exception stack trace shown storm ui error column newlines rendered make hard read long stacktraces possible preserve formatting stack trace view reported pramod biligiri subba rao yahoo,1800.0
pacemaker code improvement,minor improvement pacemakerclient source code add shutdown checking connecting add block robustness,1800.0
add test property substitution flux test,discussing unclear whether flux changing type property substituted via filter option would good add check unit test,2400.0
update storm py compatible,function emitbolt emits map json serializeble changed return list order json serializeble,2400.0
storm py dont handle error correctly window,powershell script return exit code get running python script cause always return python script executes java class window throw away subprocess output error make difficult figure process failed storm jar incorrect class name,1800.0
deprecate kafkaconsumer subscribe apis make kafkaconsumer assign default,thought made sense separate issue list deprecation changelog removal separately,3000.0
broke sojourn time estimation,updated disruptor queue metric go individual tuples batch tuples like sojourn time also calculated arrival rate population population computed based slot tuples proportionally many tuples given slot either need way compute tuple population use would new metric need keep old arrival rate metric around sojourn time think first one likely work,1800.0
method getting nimbus cilent doenot accept timeout parameter,method getting nimbus cilent receive timeout parameter storm reached take lot time wait result,2400.0
basiccontainer getwildcarddir try resolve wildcard character path get prevents worker booting window,shortens worker classpath substituting wildcards full list jar path constructed using work window seems like window check path valid path guarantee support glob want examine path case since wildcard real wildcard including file special syntax including jar java classpath path constructed string concatenation instead,2400.0
